OBJECTID,old_collision,pedes_collision,gridid,Shape_Length,Avg_price,Avg_SKY,Avg_VEGETATION,Avg_BUILDING,Avg_ROAD,Avg_SIDEWALK,Avg_VEHICLE,Avg_armchair,Avg_bench,Avg_building1,Avg_fence,Avg_light,Avg_plant,Avg_poster,Avg_signboard,Avg_stairway,Avg_streetlight,Avg_traffic_light,num_park,num_store,num_supermarket,num_foodmarket,num_superfoodmar,num_traffic,num_bank,num_school,num_residential,num_agingfaculty,num_hospital,num_drugstore,num_clinic,num_streetgov,Avg_old,Avg_total,Avg_carNumAll,Avg_landuse_green,num_market,landuse_commercial,landuse_estates,landuse_estates_new,landuse_estates_old,landuse_estates_villa,road_width,min_lanes,lanes_wide,speedlimit,num_junction,num_subbus,num_hos_cli,len_x_car,OBJECTID_1,POINT_X,POINT_Y
116,1,5,3.10E+11,250.509525,47495.0495,0.317450629,0.199330224,0.249073982,0.136914465,0.020867772,0.027211083,0,0.0000412,0.249073982,0.008296437,0,0.004506323,0,0.004469554,0.000156297,0.000330289,0.000500891,0,29,6,22,28,78,13,6,36,0,3,7,1,4,25.77385158,90.00353357,1158.666667,24596.09613,28,24571.4061,366373.5758,346688.7929,19678.20258,6.615362894,9,3,3,40,2,26,4,290257.0364,116,13516946.57,3660274.589
605,0,0,3.10E+11,28.37468879,56236.66667,0.075330734,0.498854637,0.20039463,0.097483635,0.030200005,0.047515869,0,0.00549984,0.20039463,0.014922142,0,0.010837555,0,0.000368118,0,0.000303268,0,0,3,3,1,4,64,6,2,18,1,0,1,1,1,21.32954543,166.375,0,0,4,17893.27005,437429.8227,430894.182,6522.597524,13.06424179,6,2,3,40,1,16,1,0,605,13513284.97,3658455.688
1181,0,0,0,200.0000568,56364.76667,0.217693011,0.259922663,0.359475772,0.05225722,0.018726667,0.031137466,0,0.000000636,0.348187129,0.001789729,0,0.003016472,0,0.000487645,0,0.000108719,0,0,24,3,9,12,39,9,4,38,0,2,3,0,1,17.32595573,53.71227364,27,22919.45295,12,34422.89775,423996.2318,266192.2828,157783.6683,20.31570113,3,1,3,40,1,38,2,5400.001534,1181,13512029.12,3661449.136
1180,1,4,0,199.9999295,57557.33333,0.308249791,0.192532221,0.302120845,0.113277753,0.045464198,0.012812932,0,0.000326475,0.302120845,0.003474236,0,0.0000836,0,0.000224113,0.0000375,0.000153224,0.00000413,0,20,4,8,12,41,9,8,37,0,3,5,1,0,17.09716599,51.86032389,100,13526.00092,12,56980.42144,403999.573,233624.0007,170345.8294,29.76709125,3,1,3,40,2,33,4,19999.99295,1180,13512122.38,3661161.084
1179,0,0,0,200.0000652,60269.5625,0.327121099,0.250123978,0.23192819,0.113836288,0.034979502,0.010282199,0,0.000000636,0.23192819,0.00176398,0,0.000123024,0,0.000746091,0,0.000221252,0.000184695,0,26,3,9,12,43,10,6,39,0,3,6,1,3,17.94178794,58.09147609,319,13526.00092,12,57391.89795,419842.2805,283071.2855,136741.1063,29.92612386,6,2,3,40,1,50,4,63800.0208,1179,13515047.71,3657984.391
349,0,0,3.10E+11,199.9999763,64847.64286,0.200201511,0.508502483,0.169768333,0.056821823,0.022778988,0.008731365,0,0.000566959,0.169768333,0.000231266,0,0.040299416,0,0.00118494,0,0.000223637,0.0000286,1,4,0,3,3,45,12,1,13,0,2,1,3,0,25.88392856,134.6071429,122,43835.10257,3,3457.203723,528400.2301,508531.7961,19809.52991,58.91251828,9,3,3,40,1,23,5,24399.99711,349,13514547.85,3658156.473
473,0,0,3.10E+11,200.0000331,40096,0.245100339,0.48268954,0.084131559,0.064143817,0.006971359,0,0,0,0.084131559,0.001249313,0,0.074562391,0,0,0,0,0,0,1,0,0,0,2,1,0,2,1,0,1,0,0,8.20930233,61.95348837,40,825.7228989,0,0,130187.3926,115012.9638,0,158.0507171,6,2,3,40,0,4,0,8000.001324,473,13508291.63,3659496.648
466,0,0,3.10E+11,199.9999608,40096,0.33023262,0.502978961,0.003914833,0.06579272,0.001246134,0,0,0,0.003813426,0.0000884,0,0.095795631,0,0,0,0.000041,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,8,63.06451613,41,3788.47306,0,0,68017.32435,67835.22712,0,182.0926806,6,2,3,40,0,4,0,8199.998393,466,13508365.47,3659317.901
761,0,4,3.10E+11,149.6253007,55434.03704,0.24586153,0.006077766,0.37109971,0.14557457,0.006248236,0.043479204,0,0,0.37109971,0.006922245,0,0.000298738,0,0.001456022,0,0.00000715,0.0000198,1,23,6,22,28,44,8,7,28,0,3,7,0,3,21.4774775,96.95795796,1789.5,18721.42902,28,21361.26212,327912.2297,311211.708,16461.82361,238.7272895,9,3,3,40,1,35,3,267754.4756,761,13517105.8,3660735.545
467,0,0,3.10E+11,200.0000196,0,0.361702919,0.338937442,0.078437169,0.08518823,0.013279597,0.000206947,0,0,0.078381856,0.001113574,0,0.043908437,0,0.002328873,0,0.000224749,0.001145363,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.36363636,26.90909091,42,5925.500323,0,0,3636.788846,3396.326172,0,240.4560367,6,2,3,40,0,0,0,8400.000823,467,13508365.76,3659141.37
972,0,0,0,199.9999832,37875.58333,0.254327297,0.113685846,0.194120526,0.154292822,0.021019816,0.028340459,0,0.000160336,0.194120526,0.004327893,0,0.025355458,0.0000118,0.002136588,0.000218868,0.000125289,0.000582933,1,6,2,3,5,23,4,3,15,0,4,4,0,1,25.14383562,90.84246575,4151.666667,3102.414925,5,26620.1103,404270.983,403993.7794,0,277.2126629,15,5,3,40,1,43,4,830333.2637,972,13508991.7,3659251.054
709,0,0,3.10E+11,200.0000538,54250.76923,0.295036952,0.334973335,0.140810013,0.11128966,0.048308055,0.022696177,0,0.000102997,0.140629768,0.001892408,0,0.001571337,0.000125885,0.004442851,0,0.000220935,0,1,4,3,2,5,34,8,3,9,1,0,3,1,0,34.21359223,169.3203884,153,33730.25352,5,0,465635.6084,465352.7313,0,282.8741992,9,3,3,40,0,36,1,30600.00823,709,13512487.19,3661067.273
776,1,0,3.10E+11,199.9999956,51249.7,0.270191511,0.387438774,0.12062486,0.15223217,0.03225708,0.019800504,0,0.00000254,0.12062486,0.002874374,0,0.014619191,0,0.001361847,0,0.000785828,0.000130653,1,15,5,9,14,55,6,6,18,1,2,6,0,4,38.62737643,131.0798479,1465,58597.75182,14,35076.65942,570616.2414,570202.2779,0,413.9585207,6,2,3,50,0,37,2,292999.9936,776,13512766.39,3659753.275
534,0,0,3.10E+11,199.9999767,38367.58824,0.294806004,0.38428545,0.087144375,0.141124725,0.05401516,0.004577637,0,0,0.087144375,0.001431465,0,0.002818584,0,0.006484509,0,0.000895023,0.000705242,1,13,3,3,6,71,1,0,11,0,2,5,1,0,23.21875,87.8671875,153,29107.49969,6,0,410874.7644,368085.4367,42297.05776,492.238282,6,2,3,40,1,29,3,30599.99644,534,13511395.28,3660397.016
1008,0,1,3.10E+11,199.9999983,53460.92045,0.201720357,0.025892973,0.312883973,0.127245188,0.008529782,0.040692568,0,0,0.312883973,0.007302642,0,0.019608498,0,0.00263834,0,0.0000103,0.00000989,1,25,7,22,29,48,7,7,33,1,3,7,2,5,22.63999999,103.1046154,2710.333333,20843.45012,29,24571.4061,352021.4309,336222.0243,15247.24775,552.1860269,9,3,3,40,2,39,5,542066.662,1008,13510358.74,3660966.523
15,0,2,3.10E+11,200.0000225,47048.7,0.23911953,0.435528755,0.089468002,0.13032198,0.061377525,0.007264614,0,0.0000272,0.089468002,0.001244545,0,0.016080379,0,0.003858089,0,0.000107288,0.000395775,0,8,4,8,12,38,4,5,14,1,0,4,0,0,32.696,113.624,220,9053.897874,12,245.7282895,639767.2937,607048.2118,31826.16268,892.9161865,6,2,3,40,1,45,0,44000.00495,15,13512274.18,3660288.53
614,0,0,3.10E+11,125.0851803,35406.82353,0.316002846,0.335497379,0.106005669,0.145420551,0.042464733,0.017472267,0,0,0.106005669,0.001487732,0,0.002138615,0,0.001209736,0,0.000343323,0.000705242,1,14,3,2,5,59,2,0,8,0,2,6,3,0,24.06060607,93.95959596,107,28494.08385,5,0,333064.2698,292189.6014,39869.12895,1005.515958,6,2,3,40,1,22,5,13384.11429,614,13511469.34,3660457.954
461,0,0,3.10E+11,199.9999553,0,0.547275543,0.090631294,0.106424332,0.152866936,0.0275774,0.003620529,0,0,0.106417274,0.018192101,0,0.003385353,0,0.005656242,0,0.001152039,0,0,2,0,0,0,8,1,0,0,0,0,0,0,0,2.35714285,87.07142857,232.5,49230.06778,0,0,1200.635806,0,0,1200.635806,6,2,3,40,0,10,0,46499.98961,461,13508214.78,3658294.311
482,0,0,3.10E+11,209.7811603,0,0.516327449,0.090370859,0.090755599,0.142843383,0.00875691,0.000845364,0,0,0.090755599,0.013678551,0,0.020824569,0,0.007843154,0,0.001198905,0,0,2,0,0,0,10,1,0,0,0,0,0,0,0,2.00000001,73.88235294,249.6666667,49576.04558,0,0,1200.635806,0,0,1200.635806,6,2,3,60,1,18,0,52375.36303,482,13508140.27,3658116
533,0,0,3.10E+11,158.924286,41882.70588,0.470956326,0.17166853,0.108004093,0.147506475,0.035265684,0.008945465,0,0,0.108004093,0.018042088,0,0.005511045,0,0.006531954,0,0.001007318,0,2,12,3,3,6,82,1,3,13,0,2,4,1,0,21.7867647,86.25,138,36287.86754,6,0,376788.4668,369471.9597,6088.335278,1228.160662,6,2,3,40,1,18,3,21931.55147,533,13511215.85,3660400.243
